serviço,preço,descricao
Artes,30,"Arte para post, stories, feed"
Vídeo institucional (-1min),50,"Vídeo institucional de até 1 minuto"
Vídeo institucional (até 2min),60,"Vídeo institucional de até 2 minutos"
Vídeo institucional (até 3min),70,"Vídeo institucional de até 3 minutos"
Vídeo institucional (até 4min),80,"Vídeo institucional de até 4 minutos"
Vídeo institucional (até 5min),90,"Vídeo institucional de até 5 minutos"
Vídeo institucional (até 6min),100,"Vídeo institucional de até 6 minutos"
Vídeo institucional (até 7min),110,"Vídeo institucional de até 7 minutos"
Vídeo institucional (acima de 7 minutos),0,"Solicitar orçamento"
Motion de até 1min,80,"Sem locução"
Motion de até 1min (com locução),100,"Com locução"
Motion de até 2min,100,"Sem locução"
Motion de até 2min (com locução),120,"Com locução"
Motion de até 3min,120,"Sem locução"
Motion de até 3min (com locução),140,"Com locução"
Motion de até 4min,140,"Sem locução"
Motion de até 4min (com locução),160,"Com locução"
Motion de até 5min,160,"Sem locução"
Motion de até 5min (com locução),180,"Com locução"
Motion de até 6min,180,"Sem locução"
Motion de até 6min (com locução),200,"Com locução"
Motion de até 7min,200,"Sem locução"
Motion de até 7min (com locução),220,"Com locução"
Motion acima de 7 minutos,0,"Solicitar orçamento"
Social Media,300,"Gerenciamento de redes sociais. Valor por conta"
ID Visual sem MIV,1000,"Logo, aplicação, papelaria, paleta de cores"
ID Visual com MIV,1500,"Logo, aplicação, papelaria, paleta de cores, manual de identidade visual"
Apenas logo e cores, R$400,"Criação de logo e definição de paleta de cores."
Apenas tipografia, R$150,"Definição e aplicação de tipografia para a marca."
Apenas emblema, R$150,"Criação de emblema (símbolo) para a marca, assumindo logo já existente."
Apenas papelaria, R$150,"Design de cartão de visita, papel timbrado e outros itens de papelaria, assumindo logo já existente."
Uniforme, R$100,"Design de uniforme com a identidade visual da marca."
Fotografia, R$20,"Por foto."
